solo_Wins,solo_DamagePg,solo_HealsPg,solo_KillsPg,solo_WinRatio
2,272.55,1.32,2.36,9.09
4,433.42,1.0,4.33,22.22
10,155.29,2.45,1.22,2.26
11,236.29,1.31,2.08,8.4
9,221.27,1.07,1.87,5.36
0,277.48,1.42,2.5,0.0
2,351.7,3.24,3.24,11.76
2,651.83,1.67,7.0,33.33
1,408.8,3.0,4.33,33.33
13,231.97,1.58,2.02,9.56
7,177.81,1.51,1.5,2.85
5,215.44,0.86,1.88,6.49
0,41.98,0.0,0.33,0.0
1,145.34,0.75,1.22,1.56
39,318.77,1.76,2.84,15.66
11,308.34,3.17,2.81,14.29
3,368.07,1.38,3.62,23.08
25,358.0,4.33,3.0,17.73
6,506.9,1.44,5.17,33.33
34,423.91,1.79,3.59,14.91
17,194.52,2.04,1.62,6.69
14,228.77,2.17,1.99,6.8
0,225.81,1.17,1.71,0.0
6,205.63,1.44,1.7,6.19
2,282.47,0.39,2.33,11.11
4,261.0,3.1,2.33,9.52
0,16.78,0.0,0.14,0.0
3,324.55,1.49,2.81,5.66
6,685.72,1.36,6.09,54.55
7,501.32,1.35,4.55,35.0
1,313.92,0.5,3.0,25.0
19,418.75,1.56,3.69,19.39
4,139.85,1.04,1.12,8.0
6,181.33,1.11,1.43,4.26
5,759.94,0.25,7.31,31.25
20,307.18,1.54,2.72,7.38
18,353.89,2.48,3.08,24.0
0,50.0,0.0,0.67,0.0
16,506.27,1.0,4.33,24.24
3,353.79,1.24,3.15,8.82
9,259.36,1.36,2.24,7.09
24,231.33,2.85,1.86,7.64
2,161.13,0.88,1.35,2.56
6,500.17,1.72,4.92,24.0
5,105.24,0.25,0.97,1.78
1,406.77,0.25,4.0,25.0
3,224.1,1.26,1.97,9.68
7,149.48,6.14,1.26,3.91
3,853.17,1.94,8.35,17.65
1,213.62,1.35,1.77,3.85
1,142.41,1.23,1.19,2.08
0,140.02,0.62,1.0,0.0
11,145.77,2.13,1.17,1.18
6,329.0,1.75,3.0,8.96
2,341.52,1.17,2.83,33.33
22,323.0,1.72,2.89,19.3
16,295.43,0.92,2.82,22.54
8,187.41,1.01,1.65,5.48
43,454.82,1.79,3.9,12.99
0,429.14,0.0,5.0,0.0
2,110.07,1.08,0.88,0.63
29,187.22,6.41,1.6,7.34
3,192.71,2.79,1.66,10.34
0,360.01,2.0,3.0,0.0
4,206.88,2.52,1.73,12.12
2,116.03,1.3,0.93,1.46
4,200.28,1.05,1.66,3.03
41,424.81,1.57,3.82,16.47
106,334.88,2.96,2.84,15.92
3,216.05,2.35,1.94,6.12
17,380.48,1.99,3.42,15.89
7,224.7,2.25,2.02,8.24
0,266.55,1.5,2.5,0.0
15,388.79,1.8,3.39,32.61
7,157.12,2.83,1.28,2.57
2,324.74,2.07,3.21,14.29
2,280.44,2.32,2.68,10.53
23,225.92,2.42,1.9,4.91
0,224.11,2.06,1.81,0.0
1,1131.58,1.5,11.0,50.0
3,121.28,1.38,0.98,1.33
5,783.26,3.45,7.0,45.45
4,387.12,1.08,3.92,33.33
5,229.39,0.93,2.03,8.47
3,490.39,2.36,4.71,10.71
4,289.31,2.72,2.67,8.7
8,159.21,1.48,1.35,3.9
1,219.33,1.23,1.79,0.86
1,841.32,6.0,10.0,100.0
2,164.35,2.58,1.31,0.97
0,255.31,1.0,2.0,0.0
1,295.43,1.78,2.57,4.35
3,221.98,1.23,1.79,4.29
1,209.59,1.12,1.88,2.44
7,185.87,1.66,1.38,5.47
1,793.95,1.0,8.5,50.0
57,237.61,3.39,2.08,16.52
3,241.78,1.38,2.01,4.17
3,526.12,1.17,5.5,50.0
21,225.89,1.53,1.92,10.77
1,126.97,1.5,1.17,16.67
8,211.81,1.31,1.67,4.62
12,113.45,0.94,0.88,3.11
2,385.6,1.9,3.8,20.0
6,649.65,2.35,5.83,26.09
16,325.29,1.86,2.78,7.66
2,234.75,1.11,1.92,2.38
5,151.35,1.41,1.12,3.7
4,197.08,1.1,1.88,10.0
7,252.5,1.32,2.16,15.91
9,189.09,1.57,1.56,3.78
5,435.18,1.1,4.25,7.46
49,416.94,1.94,3.66,12.31
3,250.51,1.45,2.3,9.09
5,166.23,1.32,1.34,8.93
4,655.46,1.87,6.27,26.67
3,228.09,1.1,1.89,4.84
2,215.25,1.83,1.97,6.9
8,376.33,2.88,3.17,13.56
4,374.39,1.06,3.39,22.22
9,382.26,1.62,3.68,7.69
2,180.3,2.46,1.58,1.77
1,115.78,1.06,0.92,1.61
12,111.95,3.89,0.91,2.32
4,406.35,2.29,3.86,28.57
19,285.5,1.84,2.32,6.96
1,398.64,0.56,3.67,11.11
7,279.77,1.73,2.38,6.36
0,185.59,0.78,1.57,0.0
5,246.84,1.0,2.44,27.78
5,195.73,1.81,1.66,3.88
0,346.83,0.0,3.0,0.0
19,243.3,7.88,1.98,17.43
10,465.68,1.85,4.2,21.74
4,163.34,1.23,1.27,2.48
4,300.5,1.22,2.87,17.39
37,408.46,3.12,3.45,22.7
5,151.51,1.46,1.27,5.56
4,140.04,1.75,1.27,7.84
3,509.06,2.2,4.6,30.0
0,222.39,1.0,2.0,0.0
1,154.9,1.24,1.31,0.44
22,195.61,1.19,1.74,9.48
0,280.24,2.5,2.83,0.0
4,81.51,1.52,0.62,1.01
3,263.78,1.52,2.28,3.23
11,231.79,1.45,2.06,4.85
11,308.17,2.34,2.77,10.09
6,313.18,1.4,2.6,7.5
1,204.44,0.61,1.78,2.04
2,404.2,2.2,3.8,40.0
1,260.88,1.71,2.59,5.88
13,304.04,1.26,2.56,13.54
1,185.45,1.13,1.52,1.22
5,336.03,1.73,3.14,22.73
0,161.75,1.28,1.35,0.0
42,365.3,2.01,3.16,17.07
1,285.68,2.75,3.0,25.0
48,523.26,1.49,4.8,36.64
3,150.01,1.58,1.2,1.96
10,229.48,1.88,1.93,7.87
10,265.76,1.77,2.35,8.13
1,246.81,1.86,2.25,3.57
1,770.24,4.0,8.5,50.0
1,359.83,0.6,3.8,20.0
2,283.47,1.61,2.55,6.06
1,220.07,1.36,1.98,2.22
32,352.22,1.56,3.07,9.7
7,398.63,2.12,3.47,41.18
3,369.5,1.0,3.33,33.33
1,255.52,1.05,2.34,2.27
2,303.66,1.7,2.78,7.41
0,0.0,0.0,0.0,0.0
0,216.14,0.85,1.92,0.0
8,149.93,1.65,1.15,2.91
1,254.99,1.73,2.53,6.67
0,153.65,1.15,1.3,0.0
16,253.58,1.23,2.03,5.93
2,125.55,1.4,0.89,0.65
0,399.26,1.45,3.84,0.0
0,347.08,1.24,3.18,0.0
2,248.64,1.5,2.12,12.5
0,315.9,0.2,3.0,0.0
22,230.13,2.97,2.06,6.38
2,136.84,1.09,1.18,3.64
15,175.72,1.47,1.38,2.0
1,160.22,0.75,1.5,25.0
6,172.02,1.1,1.37,6.52
3,267.92,1.22,2.33,6.52
22,225.66,1.8,1.91,5.96
2,223.61,1.41,1.78,2.9
3,154.67,0.92,1.18,2.11
9,156.96,1.0,1.12,3.98
42,153.89,3.75,1.31,7.07
3,182.71,1.47,1.45,2.05
8,668.68,0.36,6.59,36.36
8,140.61,1.32,1.11,3.32
2,318.65,1.97,2.31,6.25
4,161.77,2.91,1.49,4.17
2,233.22,1.1,2.0,10.0
5,158.68,1.03,1.22,2.54
3,237.9,1.41,1.94,3.66
4,152.29,1.62,1.3,2.84
3,203.55,0.93,1.73,7.32
5,111.07,1.26,0.8,1.61
13,206.48,1.92,1.76,1.52
11,214.1,1.53,1.81,5.7
2,256.59,1.68,2.35,5.41
16,244.87,2.96,2.16,10.26
1,210.53,0.88,1.92,1.52
0,445.0,1.0,4.0,0.0
4,276.05,0.98,2.57,8.51
3,389.57,1.11,3.56,33.33
3,232.75,1.31,1.94,6.25
1,291.65,5.33,2.0,33.33
0,227.52,2.13,1.74,0.0
6,231.73,1.58,1.92,2.8
2,286.54,2.27,2.4,2.56
2,319.02,1.0,3.67,66.67
0,155.55,0.89,1.25,0.0
29,345.36,1.61,2.86,10.98
55,372.33,5.45,3.14,16.52
22,236.72,1.94,2.05,8.37
3,250.44,1.58,2.27,11.54
1,344.95,1.56,3.0,11.11
13,178.84,1.77,1.53,13.0
13,155.04,1.05,1.25,3.87
46,314.57,3.19,2.66,15.65
62,392.86,2.49,3.34,17.13
8,246.23,2.17,2.15,4.76
3,224.5,2.05,2.08,7.89
6,145.57,1.99,1.18,5.66
1,194.67,1.64,1.47,1.69
10,285.03,1.87,2.64,12.82
2,224.01,2.63,2.03,6.67
6,115.51,1.0,0.9,1.1
10,278.84,1.52,2.58,14.93
4,332.76,1.35,3.0,23.53
2,150.65,1.88,1.25,2.35
4,400.92,1.67,4.2,26.67
5,243.01,1.66,2.03,5.43
0,333.42,1.0,3.0,0.0
0,8.11,0.0,0.0,0.0
4,117.17,3.38,0.98,3.81
20,292.71,2.27,2.46,7.55
3,180.01,2.61,1.56,5.08
5,533.1,1.42,5.34,13.16
6,224.33,1.57,2.07,8.57
37,266.1,2.19,2.3,12.17
65,295.02,4.44,2.6,20.38
11,154.93,5.17,1.2,5.95
2,241.6,1.36,2.07,4.44
0,137.98,0.0,1.67,0.0
1,170.87,1.07,1.46,1.69
27,319.7,1.7,2.87,6.59
2,308.11,0.95,2.81,9.52
2,131.09,1.55,1.29,6.45
1,315.46,1.27,3.0,3.85
3,179.74,2.41,1.42,3.09
12,232.77,1.93,1.95,5.94
1,495.6,1.25,4.75,12.5
9,272.73,2.11,2.35,5.42
48,401.47,7.82,3.71,27.43
5,116.04,1.36,0.91,2.39
5,210.58,0.89,1.69,11.11
5,230.73,0.97,1.94,7.25
3,283.13,1.08,2.48,6.25
1,312.78,1.16,2.72,4.0
3,1067.27,1.25,10.75,75.0
4,182.07,1.02,1.56,3.1
0,306.0,1.6,2.88,0.0
1,505.09,1.0,5.0,50.0
3,575.97,2.33,5.38,14.29
1,265.86,1.17,2.0,16.67
0,184.87,2.19,1.65,0.0
2,378.08,1.39,3.39,8.7
12,234.66,4.1,1.98,20.0
8,227.17,1.75,1.81,5.23
3,262.52,1.1,2.23,4.92
1,261.56,1.29,2.06,2.94
7,442.58,1.71,3.75,10.77
2,239.85,1.73,2.23,6.67
1,229.14,1.75,2.01,0.98
0,131.24,1.25,1.5,0.0
4,147.24,1.32,1.06,2.12
5,121.06,1.7,0.94,1.71
0,250.0,0.0,2.5,0.0
1,81.39,2.91,0.56,0.21
2,467.91,4.25,4.5,25.0
1,212.75,1.88,1.76,5.88
0,226.63,1.79,1.94,0.0
8,278.03,1.59,2.34,8.08
2,238.67,1.27,2.02,4.55
0,201.43,1.0,1.78,0.0
13,235.97,1.43,2.03,4.19
16,145.94,2.06,1.16,3.31
2,267.83,2.08,2.42,5.26
4,146.88,1.43,1.09,3.96
1,214.49,1.43,1.79,2.38
5,327.36,1.96,2.75,17.86
5,327.78,2.21,3.1,12.82
10,89.35,6.1,0.64,1.8
1,360.24,1.17,3.26,4.35
2,184.67,0.63,1.65,2.44
14,327.87,1.78,2.85,11.67
2,151.1,0.85,1.2,10.0
28,225.61,1.97,1.84,4.17
7,344.19,2.18,3.26,17.95
10,190.5,1.32,1.53,3.89
1,286.39,0.56,2.81,6.25
1,197.69,1.17,1.7,1.3
1,136.41,1.12,1.12,3.85
0,209.58,0.93,1.8,0.0
7,197.88,1.47,1.69,5.74
0,188.59,1.15,1.51,0.0
23,193.68,2.58,1.63,8.95
0,338.35,0.0,2.0,0.0
6,352.64,1.1,3.24,7.5
15,220.67,1.39,1.82,7.69
2,217.8,0.78,1.83,3.7
1,192.02,2.33,1.67,33.33
5,101.17,1.15,0.8,2.6
0,164.89,1.69,1.31,0.0
10,254.68,2.47,2.17,8.62
2,200.06,1.67,1.67,7.41
12,309.65,2.38,2.75,16.44
1,271.79,1.27,2.41,4.55
3,180.28,1.7,1.48,7.5
4,531.37,2.56,5.22,22.22
2,879.29,6.0,8.5,100.0
17,215.84,1.44,1.71,4.28
11,255.05,1.4,2.21,12.09
3,335.39,1.48,3.04,13.04
1,185.71,1.56,1.45,1.16
5,360.42,1.53,3.43,16.67
0,629.85,1.0,3.0,0.0
5,209.79,1.01,1.66,4.95
7,290.43,1.85,2.59,8.97
3,272.85,1.62,2.24,10.34
8,246.58,1.1,2.0,11.59
4,237.13,1.45,2.08,6.15
1,204.11,1.21,1.82,0.81
12,1070.62,0.69,10.83,33.33
10,250.04,1.44,2.04,9.43
4,175.79,0.66,1.47,12.5
1,321.35,1.4,3.0,10.0
1,194.24,7.4,2.4,20.0
1,466.28,2.91,4.36,9.09
5,376.68,1.75,3.51,9.8
0,310.29,1.71,2.93,0.0
20,160.44,2.82,1.41,8.7
22,384.93,3.15,3.36,25.58
7,158.51,1.4,1.21,2.64
0,165.92,2.11,1.42,0.0
1,149.03,1.39,1.09,0.62
15,154.98,2.45,1.19,5.03
2,242.69,2.71,2.24,11.76
2,233.26,1.25,2.19,12.5
5,355.36,1.8,3.28,8.33
3,200.03,1.69,1.54,3.7
10,325.52,1.52,2.81,12.66
0,546.62,8.0,5.0,0.0
3,174.79,1.96,1.6,3.85
12,265.87,1.97,2.46,6.74
21,524.3,2.98,4.39,20.59
27,195.93,2.23,1.68,5.42
0,557.34,2.25,4.75,0.0
7,201.61,1.92,1.62,8.75
2,201.58,1.52,1.5,1.89
7,167.82,1.83,1.38,7.37
2,427.15,1.22,4.11,22.22
3,352.2,2.26,3.22,13.04
4,249.53,1.04,2.39,7.41
2,326.37,1.91,2.91,8.7
28,346.91,1.83,3.03,9.24
2,249.89,2.54,2.0,2.82
8,342.16,2.41,2.83,11.27
5,290.91,0.92,2.47,9.8
7,156.5,0.95,1.19,3.14
7,139.97,1.3,1.16,1.3
37,286.87,4.63,2.46,12.21
4,209.41,1.99,1.8,3.03
14,436.34,1.88,4.12,16.28
1,122.36,1.16,1.11,1.32
8,228.68,2.73,1.93,11.27
0,112.25,0.5,0.96,0.0
0,253.06,0.0,2.0,0.0
19,263.37,3.64,2.15,9.5
8,268.26,1.62,2.35,5.56
1,150.9,1.47,1.36,2.22
6,130.38,2.83,1.06,2.24
13,190.36,1.36,1.59,7.18
3,372.57,0.53,3.6,20.0
5,158.87,1.37,1.32,2.87
1,261.89,0.33,2.67,33.33
1,326.92,0.6,3.2,20.0
6,227.03,1.79,1.77,6.32
6,109.68,1.02,0.92,3.51
6,454.75,1.74,4.03,10.34
0,100.0,1.0,1.0,0.0
1,565.79,2.33,7.0,33.33
17,166.63,1.72,1.29,3.12
1,251.26,0.89,2.24,1.52
22,288.54,3.7,2.58,12.09
3,1190.35,1.0,12.0,100.0
2,289.6,0.43,2.79,14.29
18,235.46,1.19,2.09,12.59
1,210.91,0.88,1.85,3.03
3,274.22,1.28,2.33,16.67
2,285.44,2.12,2.41,11.76
3,243.2,1.04,2.16,3.19
2,307.73,1.35,2.55,10.0
1,156.74,1.94,1.26,1.16
5,135.32,2.15,1.14,5.81
1,342.39,3.64,3.14,7.14
1,228.83,1.56,2.09,2.94
2,193.64,0.93,1.66,3.39
9,149.47,2.6,1.11,2.04
3,219.94,2.18,1.95,13.64
19,398.8,2.08,3.68,6.93
1,191.69,1.55,1.79,3.45
9,193.18,1.68,1.6,3.78
0,198.01,1.09,1.62,0.0
4,378.46,1.25,3.8,20.0
0,250.89,3.67,2.0,0.0
8,136.03,1.9,1.14,2.67
9,165.45,2.09,1.33,1.96
18,340.57,2.59,2.89,10.53
1,303.58,2.57,2.48,4.76
4,148.03,2.01,1.18,2.52
61,353.15,2.2,3.03,21.25
0,214.35,0.67,1.67,0.0
5,270.71,1.97,2.25,8.33
3,460.04,1.26,4.11,8.57
17,388.47,2.01,3.52,9.94
5,137.54,1.4,1.09,5.81
1,273.02,2.19,2.15,3.85
6,137.55,0.96,1.06,4.17
3,395.31,1.0,3.29,21.43
13,120.73,3.32,0.96,4.55
5,534.05,1.78,4.74,21.74
12,425.08,2.42,3.72,13.64
5,176.34,1.37,1.51,1.98
3,223.98,1.9,2.15,7.5
1,253.74,1.29,2.41,5.88
3,569.23,2.38,5.25,37.5
1,222.98,1.75,1.83,4.17
5,178.0,0.96,1.53,3.6
0,311.34,1.67,2.33,0.0
1,174.14,1.49,1.4,1.04
3,361.69,1.96,3.29,12.5
0,153.18,1.31,1.29,0.0
4,173.98,1.98,1.58,3.96
9,258.35,1.43,2.1,10.11
6,232.46,1.19,1.98,6.19
3,193.63,1.95,1.55,2.7
3,214.51,0.85,1.96,6.25
3,321.69,1.56,2.88,12.0
0,850.6,2.0,8.0,0.0
3,213.28,2.09,1.93,5.45
61,296.69,1.98,2.67,11.94
4,165.64,2.02,1.32,1.91
2,246.2,1.95,2.3,5.0
2,240.47,2.12,2.04,3.57
0,233.02,2.07,2.14,0.0
0,162.75,1.87,1.35,0.0
1,136.76,1.26,1.04,3.7
2,505.76,1.33,4.11,22.22
2,287.81,1.44,2.64,8.0
17,209.41,1.83,1.86,10.76
2,112.79,1.21,0.95,0.38
7,239.1,1.73,2.1,9.09
6,262.58,1.42,2.3,12.0
0,249.61,1.82,2.12,0.0
8,248.32,1.67,2.1,4.04
1,184.87,1.29,1.65,2.94
35,482.48,1.29,4.63,31.82
12,199.3,1.95,1.65,5.94
2,219.94,1.68,1.75,3.51
9,314.05,1.81,2.86,12.5
6,194.3,1.68,1.68,6.59
6,296.06,1.24,2.66,20.69
14,242.32,3.32,1.97,8.48
2,132.76,0.99,1.06,2.82
29,500.47,2.2,4.23,16.96
11,280.94,2.04,2.36,6.18
32,436.27,2.02,3.63,24.43
7,243.93,1.46,2.11,10.77
4,243.37,1.44,1.95,9.3
2,216.06,1.46,1.8,4.0
2,177.7,0.86,1.46,1.39
0,119.76,1.18,0.95,0.0
1,203.9,0.92,2.0,8.33
13,237.45,1.18,1.92,6.5
1,114.8,1.48,0.99,0.68
1,144.68,0.55,1.19,1.33
16,410.43,2.03,3.74,15.69
1,205.44,1.5,1.85,2.94
0,317.14,0.8,2.2,0.0
1,684.14,0.67,6.33,33.33
1,279.19,1.62,2.35,3.85
1,176.5,2.02,1.53,1.67
0,91.06,1.29,0.75,0.0
3,190.03,1.33,1.89,16.67
2,188.91,0.0,1.75,50.0
2,285.51,1.91,2.91,9.09
22,339.17,1.98,2.82,12.02
1,737.99,1.33,6.67,16.67
4,398.23,1.59,3.65,23.53
18,159.43,1.29,1.26,7.56
7,211.19,3.25,1.76,8.05
6,260.15,1.18,2.47,11.76
21,218.06,2.12,1.93,13.04
45,322.73,1.9,2.82,12.26
12,342.43,1.26,2.94,10.53
0,451.78,0.5,4.0,0.0
2,184.6,2.35,1.53,4.08
0,0.0,0.0,0.0,0.0
1,349.29,2.17,3.33,5.56
0,269.98,1.2,2.4,0.0
9,514.92,2.1,4.3,30.0
3,98.39,1.03,0.8,2.0
8,202.76,1.24,1.91,14.55
11,189.17,1.71,1.47,6.36
8,261.44,1.15,2.31,2.95
5,258.52,1.4,2.22,3.52
12,221.97,1.83,1.83,3.35
1,305.36,0.58,2.92,8.33
18,291.75,1.57,2.38,13.95
17,136.61,1.79,1.07,5.65
6,280.86,1.79,2.55,5.08
10,220.52,2.24,1.84,6.58
4,293.61,7.65,2.85,11.76
3,133.82,4.11,1.07,0.76
0,168.48,1.04,1.44,0.0
10,178.39,1.35,1.39,4.93
2,343.09,1.53,3.21,10.53
2,254.59,1.71,2.46,5.71
0,0.0,0.0,0.0,0.0
2,487.35,1.33,4.33,16.67
7,275.84,3.2,2.33,12.96
3,1056.26,0.0,11.0,60.0
9,213.39,1.21,1.8,9.89
2,160.82,1.45,1.38,2.82
7,243.23,1.24,1.98,7.45
8,167.97,2.5,1.19,3.77
2,270.64,1.38,2.48,9.52
1,414.36,1.75,3.88,12.5
3,402.18,2.29,3.71,42.86
8,260.33,1.31,2.43,10.81
0,104.04,1.07,0.83,0.0
18,557.08,1.78,4.81,19.78
0,149.06,1.56,1.18,0.0
8,104.8,1.03,0.85,1.87
0,220.76,0.24,2.06,0.0
3,216.07,1.65,1.91,6.52
4,257.09,0.9,2.45,20.0
2,170.04,0.7,1.45,2.9
1,290.55,1.0,2.8,20.0
3,182.22,1.87,1.46,2.52
7,105.34,3.39,0.83,2.43
2,166.98,1.47,1.37,3.51
2,334.34,1.89,3.05,10.53
3,201.64,0.72,1.72,2.8
2,166.51,1.52,1.43,8.7
2,133.83,1.82,1.3,4.0
2,204.22,1.12,1.6,3.45
10,377.97,1.38,3.28,15.62
7,202.83,1.65,1.65,3.07
0,294.83,0.0,3.0,0.0
2,141.1,1.67,1.17,1.74
1,116.56,0.84,0.98,0.48
0,232.18,1.75,2.25,0.0
1,163.72,0.8,1.31,1.54
6,466.46,1.68,4.27,14.63
1,257.9,1.61,2.44,1.52
6,129.81,0.92,1.05,2.46
4,129.92,1.18,1.03,1.82
4,139.43,1.3,1.1,2.52
1,142.17,2.25,1.16,1.56
3,258.3,1.24,2.38,14.29
3,378.35,0.79,3.42,5.77
1,197.7,0.96,1.84,1.96
8,195.4,1.59,1.57,4.73
7,185.39,1.36,1.51,5.19
3,350.16,1.44,3.26,11.11
8,244.02,1.79,2.01,5.48
0,258.4,1.9,2.6,0.0
5,320.27,1.24,2.7,10.0
6,335.19,1.28,3.28,7.41
1,141.19,2.21,1.13,1.28
4,227.42,1.63,1.78,3.88
0,149.03,2.0,1.0,0.0
18,228.26,2.93,1.92,6.92
4,365.32,1.66,3.05,6.9
6,256.39,1.63,2.2,7.23
2,382.9,0.45,3.91,18.18
3,136.76,1.65,1.06,8.82
39,367.02,2.17,3.23,12.75
